R_PRODUCTO;2017 PROD;2017 CI;2018 PROD;2018 CI;2019 PROD;2019 CI
96;0.9999759176324923;0.9984631605467227;0.9999696436586536;0.9957096897532292;0.9999656269956755;0.9932014530411133
97;0.999900757824947;0.9996012730291942;0.9996932304648836;0.9989318424777138;0.9985962943879657;0.996286940748331
98;1.0;0.9987542308271221;1.0;0.9957669577076749;1.0;0.9904829162659001
99;0.9999993407702304;0.9986353832040443;0.9999947296062806;0.9959431242031479;0.9999833134255922;0.9964371352364394
100;0.9999999841525861;0.9999693573310864;0.9999997168577917;0.9999444067362;0.9999998010020684;0.9999397203686734
101;0.9999998790814263;0.999958669133393;0.9999996784886274;0.9999807200911031;0.9999993005585361;0.9995757770743446
102;0.9999940605666822;0.9993678572704543;0.9999765228463933;0.9921604764415438;0.9999816394703971;0.9872662595210071
103;0.9997582120803233;0.9994935394808602;0.9992133557984609;0.9929369934750106;0.9991901864623817;0.9851880780339737
104;0.9998067925575;0.0;0.9970603573971206;0.0;0.9982524017021996;0.0
105;0.9999565006202955;0.9993677496637251;0.99994181736801;0.9914510531875762;0.9998889088778483;0.9812936271698647
106;0.9999999998155646;0.9984619191183536;0.9999999989604899;0.9889910534878399;0.9999999979898005;0.9843627685731913
107;0.9996576598082025;0.9992314220135943;0.9983721373510688;0.9987507365237976;0.9988244578169418;0.9947244448985807
108;0.9999942113282133;0.9985840668053734;0.9999802232427638;0.9977681430654962;0.9999856457031112;0.9969375192521004
